;46.97274;15.37107;0.0
   Oberpremstätten;46.97264;15.37128;354.3988037
;46.97251;15.37148;0.0
;46.97225;15.37181;0.0
;46.97195;15.37226;0.0
;46.97177;15.37263;0.0
   Oberpremstätten;46.9717;15.37292;365.2665405
;46.97166;15.37328;0.0
;46.97165;15.37368;0.0
;46.97169;15.37402;0.0
;46.97178;15.3745;0.0
   Oberpremstätten;46.97188;15.37502;365.7542114
;46.97191;15.37555;0.0
;46.97192;15.37625;0.0
;46.97196;15.37684;0.0
;46.97201;15.37729;0.0
   Oberpremstätten;46.97214;15.37783;363.6438904
;46.97228;15.37829;0.0
;46.97251;15.37884;0.0
;46.97319;15.38024;0.0
;46.97356;15.38105;0.0
   Oberpremstätten;46.97378;15.38166;362.9765625
;46.97394;15.38225;0.0
;46.97414;15.3832;0.0
;46.97421;15.38372;0.0
;46.97425;15.38409;0.0
   Oberpremstätten;46.97428;15.38468;355.8029785
;46.9743;15.38518;0.0
;46.9743;15.38579;0.0
;46.97429;15.38641;0.0
;46.97426;15.38712;0.0
   Oberpremstätten;46.97425;15.38743;360.4806213
;46.97428;15.38841;0.0
;46.97427;15.38852;0.0
;46.97426;15.38863;0.0
;46.97426;15.38885;0.0
   Oberpremstätten;46.97425;15.38942;356.9009399
;46.97425;15.38947;0.0
;46.97426;15.38972;0.0
;46.97426;15.38989;0.0
;46.97427;15.39035;0.0
   Oberpremstätten;46.97432;15.39103;356.6881104
;46.97435;15.39143;0.0
;46.97439;15.39192;0.0
;46.97439;15.39192;0.0
;46.9747;15.39176;0.0
   Gemeinde Unterpremstätten;46.97482;15.39171;357.5725708
;46.97492;15.39169;0.0
;46.97513;15.39171;0.0
;46.97524;15.39173;0.0
;46.97539;15.39178;0.0
   Gemeinde Unterpremstätten;46.97561;15.39186;357.0545349
;46.97586;15.39196;0.0
;46.97656;15.39226;0.0
;46.97658;15.39227;0.0
;46.97662;15.39226;0.0
   Gemeinde Unterpremstätten;46.97672;15.39224;357.1107483
;46.97888;15.39339;0.0
;46.97895;15.39342;0.0
;46.97989;15.39392;0.0
;46.98202;15.39507;0.0
   Gemeinde Unterpremstätten;46.98224;15.39518;348.7203979
;46.98246;15.3953;0.0
;46.98422;15.39626;0.0
;46.98553;15.39704;0.0
;46.98567;15.39712;0.0
   Gemeinde Unterpremstätten;46.98581;15.39721;343.0
;46.98602;15.39735;0.0
;46.98666;15.39775;0.0
;46.98729;15.39817;0.0
;46.9873;15.39818;0.0
   Gemeinde Unterpremstätten;46.98817;15.39877;342.0
;46.98842;15.39896;0.0
;46.98867;15.39915;0.0
;46.98942;15.3997;0.0
;46.98994;15.40012;0.0
   Pirka;46.99032;15.40044;342.8977051
;46.99063;15.4007;0.0
;46.99089;15.40094;0.0
;46.99144;15.40143;0.0
;46.99179;15.40176;0.0
   Pirka;46.99265;15.4026;338.9907837
;46.99265;15.4026;0.0
;46.99267;15.40267;0.0
;46.99269;15.40273;0.0
;46.99274;15.4028;0.0
   Pirka;46.99287;15.40295;338.6133728
;46.99316;15.40331;0.0
;46.99324;15.40343;0.0
;46.99331;15.40352;0.0
;46.9935;15.40377;0.0
   Pirka;46.99361;15.40392;338.8316956
;46.99374;15.4041;0.0
;46.99382;15.40423;0.0
;46.99398;15.40447;0.0
;46.99405;15.40459;0.0
   Pirka;46.99419;15.40483;338.977478
;46.99434;15.40512;0.0
;46.99441;15.40519;0.0
;46.99451;15.40536;0.0
;46.99469;15.40566;0.0
   Pirka;46.9949;15.40598;341.1658325
;46.9951;15.40623;0.0
;46.99525;15.4064;0.0
;46.99536;15.40653;0.0
;46.99546;15.4066;0.0
   Pirka;46.99558;15.40669;342.5140686
;46.99601;15.40696;0.0
;46.99638;15.40716;0.0
;46.99667;15.40733;0.0
;46.99674;15.40737;0.0
   Pirka;46.99752;15.4078;341.7355957
;46.99814;15.40816;0.0
;46.9989;15.40859;0.0
;46.99934;15.40884;0.0
;46.99984;15.40911;0.0
   Pirka;46.99992;15.40914;344.8890076
;47.00006;15.40921;0.0
;47.00016;15.40925;0.0
;47.00028;15.40929;0.0
;47.00037;15.40931;0.0
   Pirka;47.00048;15.40933;344.1264954
;47.00057;15.40935;0.0
;47.00067;15.40935;0.0
;47.00077;15.40935;0.0
;47.00085;15.40935;0.0
   Pirka;47.00093;15.40934;343.3910522
;47.00102;15.40933;0.0
;47.00113;15.40931;0.0
;47.0012;15.40929;0.0
;47.00133;15.40924;0.0
